Symbol,Signal,RSI,Entry Time,Logged At,Reason,Outcome,RSI_Value,ADX_Value,Stochastic_Value,MACD_Value,Signal_Value,ATR_Value,Entry_Price,Exit_Price,Breakeven_Probability
EURUSD,WAIT,37.72,08:49:27,2025-08-01 07:49:27,"RSI: 37.72, ADX: 15.20, Stochastic: 0.00, MACD: -0.0002, Signal: -0.0000, ATR: 0.0003, BB_Width: 0.0019; Адаптивные пороги: RSI_BUY=46.43, RSI_SELL=65.15, MIN_ADX=15.98, BB_WIDTH_MIN=0.0010; ADX слишком низкий (< 15.978671456955716)",PENDING,37.72396098337258,15.204381488005302,0.0,-0.00016474163878998915,-4.628206606076672e-06,0.0002951039047215405,1.1422044038772583,0.0,0.0
CHFJPY,WAIT,38.89,08:49:34,2025-08-01 07:49:34,"RSI: 38.89, ADX: 22.78, Stochastic: 6.19, MACD: -0.0364, Signal: -0.0154, ATR: 0.0815, BB_Width: 0.0023; Адаптивные пороги: RSI_BUY=30.00, RSI_SELL=53.34, MIN_ADX=26.01, BB_WIDTH_MIN=0.0010; ADX слишком низкий (< 26.00787567483624)",PENDING,38.89499120257335,22.782722052802928,6.186735156368031,-0.03637653183588441,-0.01541230610029441,0.08153761638962508,184.86199951171875,0.0,0.0
EURJPY,BUY (Adaptive),37.89,08:51:29,2025-08-01 07:50:03,RSI перепродан; Stochastic перепродан; Цена ниже Bollinger; ,PENDING,37.89187712256973,24.910433802179387,14.399840223686839,-0.030650120854375018,-0.0073736391099086885,0.0713579951456117,171.8990020751953,0.0,86.69
USDCAD,BUY (Adaptive),64.17,08:51:33,2025-08-01 07:50:04,Цена ниже Bollinger; Пред. EMA12 > EMA26; ,PENDING,64.16697245502752,22.52325229186675,97.90288353513918,0.00041561003128331997,0.000337966235343819,0.0007448950386211234,1.3871699571609497,0.0,77.53
CADJPY,SELL (Adaptive),38.59,08:51:34,2025-08-01 07:50:07,Цена выше Bollinger; Пред. EMA12 < EMA26; ,PENDING,38.58879143868668,36.50008574400617,32.547594198726024,-0.034615780570774746,-0.029883040549153916,0.05185910747021328,108.5270004272461,0.0,63.2
GBPUSD,BUY (Adaptive),43.79,08:51:37,2025-08-01 07:50:09,RSI перепродан; Stochastic перепродан; Цена ниже Bollinger; ,PENDING,43.78819681699389,13.665516925891552,9.327133479212254,-0.00010820475744521829,-3.533211904704107e-05,0.00031232892460873,1.3197835683822632,0.0,77.63
AUDUSD,SELL (Adaptive),42.95,08:51:39,2025-08-01 07:50:10,Цена выше Bollinger; Пред. EMA12 < EMA26; ,PENDING,42.94876239574844,18.70180230569385,33.49433710859427,-0.00016544242954474875,-0.00015682773440597845,0.000231310161424857,0.6431074738502502,0.0,71.2
EURUSD,WAIT,35.96,08:52:11,2025-08-01 07:52:11,"RSI: 35.96, ADX: 15.40, Stochastic: 0.00, MACD: -0.0002, Signal: -0.0000, ATR: 0.0003, BB_Width: 0.0020; Адаптивные пороги: RSI_BUY=45.57, RSI_SELL=65.06, MIN_ADX=15.94, BB_WIDTH_MIN=0.0010; ADX слишком низкий (< 15.943734116833618)",PENDING,35.964004812278944,15.400117453794284,0.0,-0.0002020068913966,-4.410394356418134e-05,0.00028334040886775577,1.1420739889144897,0.0,0.0
CHFJPY,WAIT,36.25,08:52:16,2025-08-01 07:52:16,"RSI: 36.25, ADX: 23.19, Stochastic: 0.95, MACD: -0.0464, Signal: -0.0222, ATR: 0.0778, BB_Width: 0.0025; Адаптивные пороги: RSI_BUY=30.00, RSI_SELL=53.32, MIN_ADX=26.09, BB_WIDTH_MIN=0.0010; ADX слишком низкий (< 26.0937471984791)",PENDING,36.25308328711605,23.187030774032085,0.9473531964130749,-0.046424710496296484,-0.02215830385245031,0.07784599455567227,184.822998046875,0.0,0.0
EURJPY,BUY (Adaptive),36.51,08:54:10,2025-08-01 07:52:44,RSI перепродан; Stochastic перепродан; Цена ниже Bollinger; ,PENDING,36.50733183938277,25.658161563882505,13.581991146274841,-0.03562079678795271,-0.012922838526743165,0.06895669635745143,171.88800048828125,0.0,84.77
USDCAD,BUY (Adaptive),64.87,08:54:14,2025-08-01 07:52:45,Цена ниже Bollinger; Пред. EMA12 > EMA26; ,PENDING,64.86577108967705,23.773630641131838,100.0,0.00045004284962568697,0.0003669133792318431,0.0007212144014521807,1.3872599601745605,0.0,69.2
CADJPY,SELL (Adaptive),38.97,08:54:15,2025-08-01 07:52:46,Цена выше Bollinger; Пред. EMA12 < EMA26; ,PENDING,38.96745458887079,37.226923489609376,32.857402361489555,-0.03427436004862727,-0.03079794627476988,0.05070041742321384,108.5270004272461,0.0,62.4
GBPUSD,BUY (Adaptive),37.98,08:54:16,2025-08-01 07:52:48,RSI перепродан; Stochastic перепродан; Цена ниже Bollinger; ,PENDING,37.97596554229821,15.187995078137531,0.0,-0.00016841404933209958,-6.566343262120431e-05,0.0003198027491291251,1.3193482160568237,0.0,76.83
AUDUSD,BUY (Adaptive),40.72,08:54:18,2025-08-01 07:52:49,RSI перепродан; Stochastic перепродан; Цена ниже Bollinger; ,PENDING,40.71965749636515,18.50337947268985,19.63690872751499,-0.00016963872971909044,-0.0001604919350772904,0.0002239263070530642,0.643008291721344,0.0,70.4
CHFJPY,WAIT,30.98,08:58:07,2025-08-01 07:58:07,"RSI: 30.98, ADX: 25.50, Stochastic: 0.00, MACD: -0.0664, Signal: -0.0329, ATR: 0.0804, BB_Width: 0.0031; Адаптивные пороги: RSI_BUY=30.00, RSI_SELL=53.27, MIN_ADX=26.21, BB_WIDTH_MIN=0.0010; ADX слишком низкий (< 26.210574148576026)",PENDING,30.980445081540026,25.496081054752704,0.0,-0.06637117338442522,-0.03286476155570907,0.08037543823844402,184.72300720214844,0.0,0.0
